Index,Address,FLAG,Contract,Avg_min_between_sent_tnx,Avg_min_between_received_tnx,Time_Diff_between_first_and_last_(Mins),Sent_tnx,Received_Tnx,Number_of_Created_Contracts,Unique_Received_From_Addresses,Unique_Sent_To_Addresses,min_value_received,max_value_received,avg_val_received,min_val_sent,max_val_sent,avg_val_sent,min_value_sent_to_contract,max_val_sent_to_contract,avg_value_sent_to_contract,total_transactions_(including_tnx_to_create_contract,total_Ether_sent,total_ether_received,total_ether_sent_contracts,total_ether_balance,Total_ERC20_tnxs,ERC20_total_Ether_received,ERC20_total_ether_sent,ERC20_total_Ether_sent_contract,ERC20_uniq_sent_addr,ERC20_uniq_rec_addr,ERC20_uniq_sent_addr.1,ERC20_uniq_rec_contract_addr,ERC20_avg_time_between_sent_tnx,ERC20_avg_time_between_rec_tnx,ERC20_avg_time_between_rec_2_tnx,ERC20_avg_time_between_contract_tnx,ERC20_min_val_rec,ERC20_max_val_rec,ERC20_avg_val_rec,ERC20_min_val_sent,ERC20_max_val_sent,ERC20_avg_val_sent,ERC20_min_val_sent_contract,ERC20_max_val_sent_contract,ERC20_avg_val_sent_contract,ERC20_uniq_sent_token_name,ERC20_uniq_rec_token_name,ERC20_most_sent_token_type,ERC20_most_rec_token_type
157,0x8bcb64bfda77905398b67af0af084c744e777a20,1,1,0,10.07396479,102293.3,0,9999,1,1350,0,0,4.5,0.000450045,0,0,0,0,0,0,10000,0,4.5,0,4.5,12,377570.81,0.0,0.0,0,8,0,9,0.0,108925.1727,108400.7433,108925.1727,0.017,354660.0,31464.23417,0.0,0.0,0.0,0.0,0.0,0.0,0,8,,GameCell
158,0x9b11efcaaa1890f6ee52c6bb7cf8153ac5d74139,1,1,0,4.580454424,46149.48333,0,9999,1,714,0,0,2.586,0.000326633,0,0,0,0,0,0,10000,0,3.266,0,3.266,32,33020059.25,1.337,1.337,1,29,1,16,0.0,69913.04,71962.3546,67657.78065,0.4,21000000.0,1065163.201,1.337,1.337,1.337,1.337,1.337,1.337,1,16,brief.blockwell.ai,https://www.yidaibi.me/ ??????????????? Create tokens easily
159,0x14c926f2290044b647e1bf2072e67b495eff1905,0,1,0,43.56008434,435557.2833,0,10000,1,3656,0,0,2.5e-05,2.5e-09,0,0,0,0,0,0,10001,0,2.5e-05,0,2.5e-05,9,138688143.0,100.0,0.0,1,6,1,6,0.0,295177.5738,342884.1389,309083.9521,0.0001,88888888.0,17336017.87,100.0,100.0,100.0,0.0,0.0,0.0,1,6,blockwell.ai KYC Casper Token,www.dfw.vc????????????8000eth
160,0x17d30c85376bc2c39edc1da179162d308559a3c4,1,1,0,1779.296491,347954.1,0,191,1,31,0,0,0.0,0.0,0,0,0,0,0,0,192,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
161,0x21f15966e07a10554c364b988e91dab01d32794a,1,1,0,3.283840101,32901.71667,0,9999,1,1995,0,0,0.0,0.0,0,0,0,0,0,0,10000,0,0.0,0,0.0,17,8515.266089,100.0,0.0,1,10,1,10,0.0,63650.04333,68194.99167,59671.91563,0.0002,7000.0,532.2041306,100.0,100.0,100.0,0.0,0.0,0.0,1,10,blockwell.ai KYC Casper Token,DataShieldCoinBank
162,0x031e0c6a7c91df1bc171d33cccc6988fd2ddeb6f,1,1,0,932.0207113,2991882.533,0,3211,1,136,0,0,0.0,0.0,0,0,0,0,0,0,3212,0,0.0,0,0.0,1,4800.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,4800.0,4800.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,Chart 4 You
163,0x46bf6e3e2d51bc587de0e2121748fd15dec991d1,1,1,0,1013.92774,595288.75,0,588,1,101,0,0,0.0,0.0,0,0,0,0,0,0,589,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
164,0x55f93985431fc9304077687a35a1ba103dc1e081,0,1,0,4.573289658,45771.23333,0,9999,1,2556,0,0,0.0,0.0,0,0,0,0,0,0,10000,0,0.0,0,0.0,34,149572.2907,75987.86969,100.0,3,20,10,19,12137.78889,49837.79783,50992.17955,34735.43485,0.0007,73584.9203,6232.178779,0.888888889,73584.9203,7598.786969,100.0,100.0,100.0,10,19,SmartMesh Token,SmartMesh
165,0x381beac50b9a5ea06a320a72592f7460c49a2b48,0,1,0,13.21292092,144898.4,0,9999,1,704,0,0,0.0,0.0,0,0,0,0,0,0,10000,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
166,0x57b5cc6c8f6ed481be23fa411671128ebbdb3c33,1,1,0,3601.599099,266520.3833,0,75,1,49,0,0,0.0,0.0,0,0,0,0,0,0,76,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
