Index,Address,FLAG,Contract,Avg_min_between_sent_tnx,Avg_min_between_received_tnx,Time_Diff_between_first_and_last_(Mins),Sent_tnx,Received_Tnx,Number_of_Created_Contracts,Unique_Received_From_Addresses,Unique_Sent_To_Addresses,min_value_received,max_value_received,avg_val_received,min_val_sent,max_val_sent,avg_val_sent,min_value_sent_to_contract,max_val_sent_to_contract,avg_value_sent_to_contract,total_transactions_(including_tnx_to_create_contract,total_Ether_sent,total_ether_received,total_ether_sent_contracts,total_ether_balance,Total_ERC20_tnxs,ERC20_total_Ether_received,ERC20_total_ether_sent,ERC20_total_Ether_sent_contract,ERC20_uniq_sent_addr,ERC20_uniq_rec_addr,ERC20_uniq_sent_addr.1,ERC20_uniq_rec_contract_addr,ERC20_avg_time_between_sent_tnx,ERC20_avg_time_between_rec_tnx,ERC20_avg_time_between_rec_2_tnx,ERC20_avg_time_between_contract_tnx,ERC20_min_val_rec,ERC20_max_val_rec,ERC20_avg_val_rec,ERC20_min_val_sent,ERC20_max_val_sent,ERC20_avg_val_sent,ERC20_min_val_sent_contract,ERC20_max_val_sent_contract,ERC20_avg_val_sent_contract,ERC20_uniq_sent_token_name,ERC20_uniq_rec_token_name,ERC20_most_sent_token_type,ERC20_most_rec_token_type
41,0xf34960d9d60be18cc1d5afc1a6f012a723a28811,0,1,0,24.07609855,240720.9833,0,9999,1,3911,0,0,0.51021227,0.000100112,0,0,0,0,0,0,10000,0,1.00102227,0,1.00102227,26,1019522768,0,0,0,21,0,16,0,96920.254,98110.58819,96920.254,0,999999999,39212414.15,0,0,0,0,0,0,0,16,,Inu Inu
42,0x163f8c2467924be0ae7b5347228cabf260318753,0,1,0,3.475355071,34812,0,9999,1,3739,0,0,0.075901435,1.22E-05,0,0,0,0,0,0,10000,0,0.122068826,0,0.122068826,57,2.40191E+12,5000,5000,1,46,1,27,0,21389.49818,21785.5,21919.95714,1.00E-05,2.21505E+12,42891177694,5000,5000,5000,5000,5000,5000,1,27,WORLDBOT,ハチ公
43,0x455e53cbb86018ac2b8092fdcd39d8444affc3f6,0,1,0,24.22534507,242252.8,0,9999,1,3210,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,128,623883.5219,521332.375,0,1,98,1,10,0,8630.47619,8681.6688,8639.283465,0,521332.375,4912.468676,521332.375,521332.375,521332.375,0,0,0,1,10,trumpwifhat,trumpwifhat
44,0x45804880de22913dafe09f4980848ece6ecbaf78,0,1,0,43.93415016,439278.4333,0,9999,1,1975,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,121,19412250.46,3.90E+20,3.90E+20,3,61,5,17,21990.73333,30874.10425,29610.11254,25215.97847,0,19399999.03,196083.338,8,1.37E+20,1.77E+19,8,1.37E+20,1.77E+19,2,17,,Tsuka Protectors of the realm
45,0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,0,1,0,65.9309731,659243.8,0,10000,1,4505,0,0,0,0,0,0,0,0,0,0,10001,0,0,0,0,10000,1742076854,1742072844,1665110325,1265,14,1,1,180.9264063,71.10156792,71.10829864,51.2480248,0.000317,50007643.23,241686.5779,0.009999,50000000,623951.5917,0.009999,50000000,754126.0529,1,1,USDC,USDC
46,0xc139190f447e929f090edeb554d95abb8b18ac1c,0,1,0,84.43736477,522948.6,0,6194,1,1080,0,0,0,0,0,0,0,0,0,0,6195,0,0,0,0,1,100,0,0,0,1,0,1,0,0,0,0,100,100,100,0,0,0,0,0,0,0,1,,Tether USD
47,0xae78736cd615f374d3085123a210448e74fc6393,0,1,0,52.27428486,528415.85,0,9999,1,7050,0,0,0.005,5.50E-07,0,0,0,0,0,0,10000,0,0.0055,0,0.0055,10000,8.88889E+14,1218004195,885303052.3,9949,24,2,13,51.8179392,36308.22366,35303.90611,117.2319765,0,8.88889E+14,2.77778E+13,0.71,300000,122191.4321,0.71,300000,122110.7658,2,12,! rocket-pools.com,# LRETH.COM
48,0x4a220e6096b25eadb88358cb44068a3248254675,0,1,0,33.67797226,451345.2667,0,9999,1,3012,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,10001,1872348103,2438935.48,1682932.56,9817,107,1,52,0.003810106,16161.02796,15692.34679,295.7801297,0,893085623.5,10175804.91,248.44,248.44,248.44,248.44,248.44,248.44,1,51,$ getqnt.net,Dogelon
49,0x8292bb45bf1ee4d140127049757c2e0ff06317ed,0,1,0,41.03760752,478434.2,0,9999,1,2709,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,3,1799.43743,0,0,0,3,0,1,0,118120.6,42221.2,118120.6,10.00114153,1734.998199,599.8124768,0,0,0,0,0,0,0,1,,RLUSD
50,0x418708dd507a2f0cac24d31c60b350315f4c8009,0,1,0,1929.58355,445734.8,0,232,1,217,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
